tipnames	virus_subtype	collection_regionname	cluster_profile	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_18866885|anseriformes|sweden|10_1_2_1_1_1_1_1|2024-01-10	H5N1	northern europe	10_1_2_1_1_1_1_1	anseriformes-wild	59.4623673036598	18.1712252623315
H5N1|2344b|EPI_ISL_18591987|anseriformes|austria|10_6_2_1_1_1_1_1|2023-10-31	H5N1	western europe	10_6_2_1_1_1_1_1	anseriformes-wild	48.2718646696418	15.7529218938467
H5N1|2344b|EPI_ISL_18858108|galliformes|czechia|10_6_2_1_1_1_1_1|2024-01-05	H5N1	eastern europe	10_6_2_1_1_1_1_1	galliformes-domestic	49.5901077813144	13.2328532454248
H5N1|2344b|EPI_ISL_18586148|gruiformes|france|10_6_2_1_1_1_1_1|2023-11-18	H5N1	western europe	10_6_2_1_1_1_1_1	other-bird	46.5103009447381	2.5780749353201
H5N1|2344b|EPI_ISL_18956166|anseriformes|croatia|10_6_2_1_1_1_1_1|2023-12-19	H5N1	southern europe	10_6_2_1_1_1_1_1	anseriformes-wild	45.0210446789036	16.3887129948206
H5N1|2344b|EPI_ISL_18612234|galliformes|italy|10_6_2_1_1_1_1_1|2023-11-16	H5N1	southern europe	10_6_2_1_1_1_1_1	galliformes-domestic	45.6595758067318	11.8428083995249
H5N1|2344b|EPI_ISL_18913195|anseriformes|moldova|10_6_2_1_1_1_1_1|2023-12-21	H5N1	eastern europe	10_6_2_1_1_1_1_1	anseriformes-wild	47.1963760840058	28.4773270677686
H5N1|2344b|EPI_ISL_18612180|galliformes|romania|10_6_2_1_1_1_1_1|2023-10-25	H5N1	eastern europe	10_6_2_1_1_1_1_1	galliformes-domestic	45.8353861913577	24.9959408037042
H5N1|2344b|EPI_ISL_18612231|ciconiiformes|slovenia|10_6_2_1_1_1_1_1|2023-09-14	H5N1	southern europe	10_6_2_1_1_1_1_1	other-bird	46.124137393352	14.813678667363
H5N1|2344b|EPI_ISL_18812084|anseriformes|NA|10_6_2_1_1_1_1_1|2023-11-30	H5N1	NA	10_6_2_1_1_1_1_1	anseriformes-wild	NA	NA
H5N1|2344b|EPI_ISL_12223734|pelecaniformes|czechia|11_1_3_1_9_1_1_5|2021-12-18	H5N1	eastern europe	11_1_3_1_9_1_1_5	other-bird	50.7015712481419	14.9927241891218
H5N1|2344b|EPI_ISL_18435610|charadriiformes|germany|13_1_4_1_4_1_1_4|2023-08-02	H5N1	western europe	13_1_4_1_4_1_1_4	charadriiformes-wild	52.7642105761026	9.16783937293005
H5N1|2344b|EPI_ISL_18271510|charadriiformes|denmark|13_1_4_1_4_1_1_4|2023-07-30	H5N1	northern europe	13_1_4_1_4_1_1_4	charadriiformes-wild	55.3568797999445	9.45020901930698
H5N1|2344b|EPI_ISL_18325122|charadriiformes|united_kingdom|13_1_4_1_4_1_1_4|2023-07-20	H5N1	northern europe	13_1_4_1_4_1_1_4	charadriiformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_18059056|charadriiformes|netherlands|13_1_4_1_4_1_1_4|2023-07-11	H5N1	western europe	13_1_4_1_4_1_1_4	charadriiformes-wild	53.1100430768808	5.84863928632393
H5N1|2344b|EPI_ISL_15518266|galliformes|finland|14_1_1_1_1_1_1_1|2021-10-01	H5N1	northern europe	14_1_1_1_1_1_1_1	galliformes-wild	64.2398144022788	26.1623842060791
H5N1|2344b|EPI_ISL_9012618|galliformes|united_kingdom|14_1_1_1_1_1_1_1|2021-10-30	H5N1	northern europe	14_1_1_1_1_1_1_1	galliformes-domestic	52.3299411115892	-3.76558183366802
