Taxon	Longitude
H5N1|2344b|EPI_ISL_14760660|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-30	12.208345049127
H5N1|2344b|EPI_ISL_14760674|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-03	12.208345049127
H5N1|2344b|EPI_ISL_14760685|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-06	12.208345049127
H5N1|2344b|EPI_ISL_14760689|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-06	12.208345049127
H5N1|2344b|EPI_ISL_14760693|anseriformes|italy|2_1_1_1_1_1_1_1|2021-12-07	12.208345049127
H5N1|2344b|EPI_ISL_14760695|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-07	12.208345049127
H5N1|2344b|EPI_ISL_14760713|NA|italy|2_1_1_1_1_1_1_1|2021-12-09	12.208345049127
H5N1|2344b|EPI_ISL_14760714|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-09	12.208345049127
H5N1|2344b|EPI_ISL_14760718|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-10	12.208345049127
H5N1|2344b|EPI_ISL_14760720|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-10	12.208345049127
H5N1|2344b|EPI_ISL_14760723|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-11	12.208345049127
H5N1|2344b|EPI_ISL_14760730|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-13	12.208345049127
H5N1|2344b|EPI_ISL_14760740|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-13	12.208345049127
H5N1|2344b|EPI_ISL_14760742|NA|italy|2_1_1_1_1_1_1_1|2021-12-14	12.208345049127
H5N1|2344b|EPI_ISL_14760747|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-15	12.208345049127
H5N1|2344b|EPI_ISL_14760752|NA|italy|2_1_1_1_1_1_1_1|2021-12-15	12.208345049127
H5N1|2344b|EPI_ISL_14760755|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-16	12.208345049127
H5N1|2344b|EPI_ISL_14760784|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-16	12.208345049127
H5N1|2344b|EPI_ISL_14760793|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-16	12.208345049127
H5N1|2344b|EPI_ISL_14760967|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-21	12.208345049127
H5N1|2344b|EPI_ISL_14761208|NA|italy|2_1_1_1_1_1_1_1|2021-12-28	12.208345049127
H5N1|2344b|EPI_ISL_14761383|anseriformes|italy|2_1_1_1_1_1_1_1|2022-01-27	12.208345049127
H5N1|2344b|EPI_ISL_14761407|anseriformes|italy|2_1_1_1_1_1_1_1|2022-02-08	12.208345049127
H5N1|2344b|EPI_ISL_14761428|anseriformes|italy|2_1_1_1_1_1_1_1|2022-02-14	12.208345049127
H5N1|2344b|EPI_ISL_14761451|galliformes|italy|2_1_1_1_1_1_1_1|2022-02-18	12.208345049127
