tipnames	virus_subtype	collection_regionname	cluster_profile	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_231685|charadriiformes|russia|NA|2016-05-25	H5N8	central asia	NA	charadriiformes-wild	51.6017202309913	94.7622198146698
H5N8|NA|EPI_ISL_17767360|galliformes|egypt|NA|2020-02-01	H5N8	northern africa	NA	galliformes-domestic	26.5331366423868	29.7934978487062
H5N1|2344b|EPI_ISL_13048381|NA|burkina_faso|NA|2021-12-08	H5N1	western africa	NA	other-bird	12.2773783178266	-1.75266049543
H5N8|2344b|EPI_ISL_254745|anseriformes|south_korea|NA|2017-01-24	H5N8	eastern asia	NA	anseriformes-wild	36.341057964317	127.784630688405
H5N8|2344b|EPI_ISL_224580|podicipediformes|russia|NA|2016-05-25	H5N8	central asia	NA	other-bird	51.6017202309913	94.7622198146698
H5N8|2344b|EPI_ISL_378634|anseriformes|china|NA|2016-11-23	H5N8	eastern asia	NA	anseriformes-wild	33.8761853651454	113.614527263456
H5N8|NA|EPI_ISL_16209018|anseriformes|egypt|NA|2020-02-01	H5N8	northern africa	NA	anseriformes-wild	26.5331366423868	29.7934978487062
H5N8|2344b|EPI_ISL_6780696|anseriformes|egypt|NA|2019-03-01	H5N8	northern africa	NA	anseriformes-wild	25.9806014325686	32.9287603784176
H5N8|NA|EPI_ISL_6780760|galliformes|egypt|NA|2019-05-01	H5N8	northern africa	NA	galliformes-domestic	25.9806014325686	32.9287603784176
H5N8|NA|EPI_ISL_17760681|galliformes|egypt|NA|2019-06-01	H5N8	northern africa	NA	galliformes-domestic	26.5331366423868	29.7934978487062
NA	NA	NA	NA	NA	NA	NA
