cluster_profile,tmrca,host_simplifiedhost
11111111,2020-01-26,anseriformes-wild
11111111,2020-07-13,anseriformes-wild
11111111,2019-11-14,anseriformes-wild
11111111,2020-02-24,anseriformes-wild
11111111,2020-05-03,anseriformes-wild
11111111,2019-08-10,anseriformes-wild
11111111,2020-04-07,anseriformes-wild
11111111,2020-01-16,anseriformes-wild
11111111,2020-04-19,galliformes-domestic
11111111,2020-04-26,anseriformes-wild
11111111,2020-02-10,anseriformes-wild
11111111,2020-02-03,anseriformes-wild
11111111,2019-12-23,anseriformes-wild
11111111,2020-03-28,anseriformes-wild
11111111,2020-05-23,anseriformes-wild
11111111,2020-02-20,anseriformes-wild
11111111,2019-08-05,galliformes-domestic
11111111,2020-02-29,anseriformes-wild
11111111,2020-05-13,anseriformes-wild
11111111,2020-11-10,anseriformes-wild
11111111,2020-05-19,anseriformes-wild
11111111,2020-01-20,other-bird
11111111,2020-08-20,anseriformes-wild
11111111,2020-01-30,anseriformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-04-28,anseriformes-wild
11111111,2020-08-28,anseriformes-wild
11111111,2020-02-11,anseriformes-wild
11111111,2020-04-29,anseriformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-07-28,anseriformes-wild
11111111,2019-11-04,human
11111111,2020-10-16,galliformes-domestic
11111111,2020-07-30,anseriformes-wild
11111111,2020-08-06,anseriformes-wild
11111111,2020-03-09,anseriformes-wild
11111111,2020-03-24,anseriformes-wild
11111111,2020-08-05,anseriformes-wild
11111111,2020-01-19,anseriformes-wild
11111111,2020-01-06,charadriiformes-wild
11111111,2019-07-07,human
11111111,2020-03-10,anseriformes-wild
11111111,2020-03-15,anseriformes-wild
11111111,2020-07-14,anseriformes-wild
11111111,2019-12-13,anseriformes-wild
11111111,2020-07-24,anseriformes-wild
11111111,2019-12-08,galliformes-domestic
11111111,2019-08-05,anseriformes-wild
11111111,2020-06-07,anseriformes-wild
11111111,2019-12-13,anseriformes-wild
11111111,2020-07-19,galliformes-domestic
11111111,2019-12-08,anseriformes-wild
11111111,2020-05-12,anseriformes-wild
11111111,2020-04-08,anseriformes-wild
11111111,2020-05-17,anseriformes-wild
11111111,2020-05-02,anseriformes-wild
11111111,2020-09-07,anseriformes-wild
11111111,2018-11-11,anseriformes-wild
11111111,2020-04-04,anseriformes-wild
11111111,2020-07-22,anseriformes-wild
11111111,2020-04-13,anseriformes-wild
11111111,2019-09-22,anseriformes-wild
11111111,2020-04-28,anseriformes-wild
11111111,2020-03-29,anseriformes-wild
11111111,2020-09-09,anseriformes-wild
11111111,2020-05-19,anseriformes-wild
11111111,2019-05-05,anseriformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-06-27,human
11111111,2020-07-12,anseriformes-wild
11111111,2019-11-21,anseriformes-wild
11111111,2019-12-24,anseriformes-wild
11111111,2019-10-03,anseriformes-wild
11111111,2020-04-13,anseriformes-wild
11111111,2020-07-09,anseriformes-wild
11111111,2020-08-12,anseriformes-wild
11111111,2020-06-01,anseriformes-wild
11111111,2020-04-21,galliformes-domestic
11111111,2020-03-24,anseriformes-wild
11111111,2019-10-30,anseriformes-wild
11111111,2020-06-04,anseriformes-wild
11111111,2020-05-16,anseriformes-wild
11111111,2020-11-30,anseriformes-wild
11111111,2020-05-20,anseriformes-wild
11111111,2020-10-14,anseriformes-wild
11111111,2020-05-08,anseriformes-wild
11111111,2020-02-22,anseriformes-wild
11111111,2020-03-13,anseriformes-wild
11111111,2019-10-30,galliformes-domestic
11111111,2020-06-21,anseriformes-wild
11111111,2019-10-23,anseriformes-wild
11111111,2019-05-13,environment
11111111,2019-01-14,anseriformes-wild
11111111,2020-05-01,anseriformes-wild
11111111,2020-04-20,galliformes-domestic
11111111,2020-10-16,anseriformes-wild
11111111,2020-02-07,anseriformes-wild
11111111,2020-02-06,anseriformes-wild
11111111,2019-12-22,anseriformes-wild
11111111,2019-11-28,environment
11111111,2020-08-31,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2019-11-06,anseriformes-wild
11111111,2020-03-15,anseriformes-wild
11111111,2019-12-07,anseriformes-wild
11111111,2020-03-19,anseriformes-wild
11111111,2020-05-27,anseriformes-wild
11111111,2020-06-11,anseriformes-wild
11111111,2020-06-23,anseriformes-wild
11111111,2020-02-06,anseriformes-wild
11111111,2019-11-21,anseriformes-wild
11111111,2020-06-13,anseriformes-wild
11111111,2020-07-18,anseriformes-wild
11111111,2020-09-21,anseriformes-wild
11111111,2020-03-29,galliformes-domestic
11111111,2020-04-13,anseriformes-wild
11111111,2020-03-02,anseriformes-wild
11111111,2020-03-09,anseriformes-wild
11111111,2020-07-31,anseriformes-wild
11111111,2019-05-13,other-bird
11111111,2020-01-17,anseriformes-wild
11111111,2020-07-14,anseriformes-wild
11111111,2020-09-08,anseriformes-wild
11111111,2020-07-21,anseriformes-wild
11111111,2020-06-14,other-bird
11111111,2019-04-19,anseriformes-wild
11111111,2020-09-03,galliformes-domestic
11111111,2020-11-10,anseriformes-wild
11111111,2019-09-26,anseriformes-wild
11111111,2020-03-04,anseriformes-wild
11111111,2020-03-13,anseriformes-wild
11111111,2020-05-19,anseriformes-wild
11111111,2020-01-28,anseriformes-wild
11111111,2020-04-05,galliformes-domestic
11111111,2019-08-05,anseriformes-wild
11111111,2020-05-17,anseriformes-wild
