weighted_diff_coeff,median_anseriformes_wild,median_charadriiformes_wild,segment,collection_regionname,season
0,0.5298508770340362,0,pb2,europe,migrating_spring
23.24717,0.49883344273663083,0,pb2,europe,migrating_spring
107275.4,1.4414102035563623,0.30716489992919804,pb2,europe,migrating_spring
241585.2,0.7334036142491609,0,pb2,europe,breeding
264162.1,0.8721603568571306,0,pb2,europe,breeding
0,1.826502954657496,0,pb2,europe,breeding
0,6.457823597079942,0,pb2,europe,overwintering
36337.78,0.2804453763096513,0,pb2,europe,migrating_autumn
0,0.2141531405408248,0,ha,asia,breeding
102223.6,0.1235659666344988,0,ha,africa,overwintering
0,2.772513325446406,0,ha,europe,migrating_autumn
1419.501,1.1169634210512331,0,ha,africa,migrating_autumn
957.3652,1.1388812292703134,0,ha,africa,overwintering
0,0,0,ha,africa,overwintering
0,0,0,ha,africa,overwintering
0,0,0,ha,africa,migrating_autumn
71376.95,0.0921831036057883,0,ha,africa,breeding
54777.86,0,0,ha,africa,breeding
4641.445,2.379489527140258,0,ha,africa,migrating_spring
0,0,0,ha,asia,breeding
0,0.8070344289009574,0,ha,asia,overwintering
0,0.08076147508479181,0,ha,asia,migrating_autumn
0,0.03782198994085029,0,ha,asia,migrating_autumn
30395.12,0.3726581592720288,0,ha,asia,breeding
23058.08,0.21679529116829332,0,ha,asia,migrating_spring
0,0.2414445351574459,0,ha,asia,migrating_autumn
0,0,0,ha,asia,breeding
0,0.07381810353579965,0,ha,asia,migrating_autumn
0,0.12141692264152848,0,ha,asia,migrating_autumn
5875.422,0.37268006035647794,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,overwintering
0,0.02542573231697975,0,ha,asia,migrating_autumn
0,0,0,ha,asia,overwintering
345381.6,0.01962312004240463,0,ha,asia,migrating_autumn
0,0.7507380480780248,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
418653.9,0.2200674657024102,0.08009561581740421,ha,asia,migrating_spring
204406.2,0.1190944857213072,0,ha,asia,breeding
0,0.07582477891639439,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
39297.06,0.17752622554431507,0,ha,asia,migrating_autumn
801343.1,0,0,ha,asia,breeding
309204.7,0.0940525413065395,0,ha,asia,breeding
0,0.23711660821380495,0,ha,asia,breeding
0,0.12083219814618662,0,ha,asia,migrating_autumn
233745.7,0.579755142379403,0,ha,asia,breeding
0,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
0,0.12083219814618662,0,ha,asia,breeding
0,0,0,ha,asia,migrating_autumn
0,0.21323804961175696,0,ha,asia,migrating_autumn
0,0.1443295758131402,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
208352.6,0,0,ha,asia,breeding
261460.3,0.14624896264207798,0,ha,asia,breeding
0,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
81375.47,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
0,0.3615121906376446,0,ha,asia,migrating_autumn
0,0.6578640015918422,0,ha,asia,overwintering
0,0.2941772308955537,0,ha,asia,migrating_autumn
95784.97,0.9026711987572982,0,ha,asia,migrating_autumn
0,0.25393524345259166,0,ha,asia,breeding
191907.5,0.3440519400804811,0,ha,asia,overwintering
0,0.2889375311569444,0,ha,asia,migrating_spring
0,0.7290047100665511,0,ha,asia,breeding
0,0,0,ha,asia,migrating_autumn
0,0.14374406735508005,0,ha,asia,migrating_spring
181652.5,0,0,ha,asia,breeding
0,0,0,ha,asia,migrating_spring
0,0.23172114783429265,0,ha,asia,migrating_spring
0,0.3185088972926904,0,ha,asia,breeding
0,0.439554450614188,0,ha,asia,breeding
0,0.3927666875522444,0,ha,asia,breeding
11867.51,0.263951166076982,0,ha,asia,overwintering
31905.16,0.8234602894353298,0,ha,asia,migrating_autumn
0,0.08041079090126191,0,ha,asia,migrating_spring
1460.825,0.6030264005414034,0,ha,asia,breeding
0,0.23381417977559416,0,ha,asia,overwintering
60857.23,0.5844356208534296,0,ha,asia,breeding
3395.205,0.8809562136775027,0,ha,asia,overwintering
0,0.05647302089929207,0,ha,asia,overwintering
0,0.2497910777727026,0,ha,central & northern america,breeding
0,0.1165399548299586,0,ha,asia,migrating_autumn
656478.5,0.09389054089660044,0,ha,asia,breeding
4482792,0,0,ha,asia,breeding
2866141,0,0,ha,asia,breeding
0,0.13237174276386376,0,ha,asia,migrating_autumn
231046.7,0.08640386179994408,0,ha,asia,breeding
707350.9,0.15771475453848227,0,ha,asia,breeding
3740694,0,0,ha,asia,breeding
0,0.3436804665498334,0,ha,asia,migrating_autumn
3488289,0,0,ha,asia,migrating_autumn
18289.53,0.34545763627249126,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
0,0,0,ha,asia,migrating_autumn
736.1139,0,0,ha,europe,overwintering
0,3.857410733784028,0,ha,asia,overwintering
165579.6,0.05436489675386102,0,ha,asia,breeding
0,0,0.5206038223313574,ha,europe,overwintering
119615.7,0,0.11833423053070646,ha,europe,overwintering
0,0.10105368625912936,0,ha,europe,migrating_autumn
0,0.03011567451532482,0.04751011375570258,ha,europe,migrating_autumn
0,0,0,ha,europe,overwintering
0,0,0,ha,europe,overwintering
149561.4,0,0,ha,europe,migrating_autumn
0,0.08644247472360966,0,ha,europe,migrating_autumn
497941.9,0.02457510265484419,0.14856204805922335,ha,europe,migrating_autumn
6330.13,0.4529497582216506,0,ha,europe,overwintering
0,0,0,ha,europe,overwintering
842.4498,0,0,ha,europe,overwintering
0,0.06586230996004883,0,ha,asia,breeding
0,0.10895808655721684,0,ha,asia,breeding
83117.15,0.3860933445302521,0,ha,europe,migrating_autumn
243843.2,0.3437191901475378,0,ha,europe,migrating_autumn
219783.2,0.01176782488155403,0.18583312892816695,ha,europe,breeding
4863.875,0.28688543163998315,0,ha,europe,overwintering
0,0.25882895622495594,0,ha,europe,migrating_autumn
0,0.17115772334815604,0,ha,europe,migrating_autumn
34009.69,0.4400359813315793,0,ha,europe,overwintering
17405.41,0.09725662433730342,0,ha,europe,migrating_autumn
218904.4,0.3150702369426637,0,ha,europe,overwintering
0,0.22387167165984412,0,ha,europe,breeding
0,0.13836142438630006,0,ha,europe,migrating_autumn
0,0.1499275040453978,0,ha,europe,migrating_autumn
167129.8,1.0009890008689029,0,ha,europe,overwintering
546797.5,0.21730550993993636,0,ha,europe,breeding
140576.5,1.3203304874403985,0,ha,europe,migrating_autumn
144336.3,0.5177215280904357,0,ha,europe,migrating_autumn
89878.81,0,0.2542396758825465,ha,europe,overwintering
0,0.09087520538738314,0,ha,europe,migrating_autumn
0,0.38613026314563736,0,ha,europe,breeding
