tipnames	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_5099478|anseriformes|germany|NA|2021-02-17	western europe	germany	profile0002	anseriformes-domestic	52.4686720071996	13.4043192497063
H5N8|2344b|EPI_ISL_615068|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-20	central asia	kazakhstan	profile0002	anseriformes-domestic	51.7623557428944	69.9739209295215
H5N8|2344b|EPI_ISL_718224|strigiformes|sweden|NA|2020-11-01	northern europe	sweden	profile0002	other-bird	62.374013544985	16.2835241791686
H5N8|2344b|EPI_ISL_615072|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-25	central asia	kazakhstan	profile0002	anseriformes-domestic	51.5322283786231	64.0853293002361
H5N8|2344b|EPI_ISL_5865695|anseriformes|united_states|3_2_3_1_3_2_1_2|2020-09-29	northern america	united states	profile0002	anseriformes-wild	32.6403385373358	-83.4405725551842
H5N8|2344b|EPI_ISL_5863490|anseriformes|united_states|3_2_3_1_3_2_1_2|2020-10-16	northern america	united states	profile0002	anseriformes-wild	32.6403385373358	-83.4405725551842
H5N8|2344b|EPI_ISL_5058630|anseriformes|germany|NA|2020-10-31	western europe	germany	profile0002	anseriformes-wild	54.1814850326718	9.81577342948134
H5N8|2344b|EPI_ISL_3128535|strigiformes|NA|NA|2021-03-25	NA	NA	profile0002	other-bird	NA	NA
H5N8|2344b|EPI_ISL_2932600|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-01	central asia	kazakhstan	profile0002	anseriformes-wild	44.9554808695858	77.9603747475348
H5N8|2344b|EPI_ISL_2932608|galliformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-01	central asia	kazakhstan	profile0002	galliformes-domestic	44.9554808695858	77.9603747475348
H5N8|2344b|EPI_ISL_1095456|strigiformes|sweden|NA|2020-10-30	northern europe	sweden	profile0002	other-bird	62.374013544985	16.2835241791686
H5N8|2344b|EPI_ISL_2932617|passeriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-15	central asia	kazakhstan	profile0002	other-bird	53.8421826489217	69.2722074369824
H5N8|2344b|EPI_ISL_5057876|anseriformes|germany|NA|2020-11-01	western europe	germany	profile0002	anseriformes-wild	54.1814850326718	9.81577342948134
H5N8|2344b|EPI_ISL_1123354|galliformes|united_kingdom|NA|2020-12-28	northern europe	united kingdom	profile0002	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_615065|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-22	central asia	kazakhstan	profile0002	anseriformes-domestic	51.5322283786231	64.0853293002361
H5N8|2344b|EPI_ISL_17212363|galliformes|united_kingdom|3_2_3_1_3_2_1_2|2020-11-01	northern europe	united kingdom	profile0002	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_1009694|anseriformes|south_korea|3_2_3_1_3_2_1_2|2021-01-09	eastern asia	south korea	profile0002	anseriformes-wild	35.3225325644814	128.261669154089
H5N8|2344b|EPI_ISL_7381448|galliformes|china|3_2_3_1_3_2_1_9|2021-07	eastern asia	china	profile0002	galliformes-domestic	23.82591453975	108.782865094166
H5N8|2344b|EPI_ISL_5260420|anseriformes|china|3_2_3_1_3_2_1_2|2021-02-01	eastern asia	china	profile0002	anseriformes-wild	23.82591453975	108.782865094166
H5N8|2344b|EPI_ISL_7381183|anseriformes|china|3_2_3_1_16_2_1_2|2021-04	eastern asia	china	profile0002	anseriformes-wild	36.3536638777003	118.136153809721
H5N8|2344b|EPI_ISL_8215663|charadriiformes|china|3_2_3_1_3_2_1_2|2021-05-17	eastern asia	china	profile0002	charadriiformes-wild	31.7354796576819	88.2546629070738
H5N8|2344b|EPI_ISL_15430209|gruiformes|china|3_2_3_1_3_2_1_2|2021-01-15	eastern asia	china	profile0002	other-bird	24.9645779206387	101.495556215566
H5N8|2344b|EPI_ISL_985231|galliformes|japan|3_2_3_1_3_2_1_2|2021-02-06	eastern asia	japan	profile0002	galliformes-domestic	32.1919114758892	131.298614512671
