tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_15957810.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-01	H5N1	2022-11-01	2022.83	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957804.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-01	H5N1	2022-11-01	2022.83	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957798.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-01	H5N1	2022-11-01	2022.83	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957731.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-29	H5N1	2022-10-29	2022.82	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957730.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-29	H5N1	2022-10-29	2022.82	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957708.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-24	H5N1	2022-10-24	2022.81	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957702.galliformes.united_kingdom.1_1_4_1_3_1_1_3.2022-10-23	H5N1	2022-10-23	2022.81	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_4_1_3_1_1_3	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957690.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-22	H5N1	2022-10-22	2022.81	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957666.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-20	H5N1	2022-10-20	2022.8	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957635.galliformes.united_kingdom.1_1_2_1_1_1_1_10.2022-10-20	H5N1	2022-10-20	2022.8	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_10	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957624.galliformes.united_kingdom.1_1_4_1_3_1_1_3.2022-10-18	H5N1	2022-10-18	2022.79	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_4_1_3_1_1_3	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
